SigC,SigH,EpsC,EpsH,density
0.15,0.091,0.8215,0.14,642.804
0.15,0.091,0.9858,0.02,650.03
0.15,0.091,0.9858,0.04,645.032
0.15,0.091,0.9858,0.06,645.456
0.15,0.091,0.9858,0.08,642.505
0.15,0.091,0.9858,0.1,646.88
0.15,0.091,0.9858,0.12,645.601
0.15,0.091,0.9858,0.14,647.627
0.15,0.091,1.1501,0.02,646.275
0.15,0.091,1.1501,0.04,644.084
0.15,0.091,1.1501,0.06,648.183
0.15,0.091,1.1501,0.08,644.516
0.15,0.091,1.1501,0.1,646.129
0.15,0.091,1.1501,0.12,648.188
0.15,0.091,1.1501,0.14,645.138
0.15,0.1365,0.1643,0.02,641.049
0.15,0.1365,0.1643,0.04,643.004
0.15,0.1365,0.1643,0.06,644.402
0.15,0.1365,0.1643,0.08,643.762
0.15,0.1365,0.1643,0.1,652.159
0.15,0.1365,0.1643,0.12,645.518
0.15,0.1365,0.1643,0.14,655.915
0.15,0.1365,0.3286,0.02,639.92
0.15,0.1365,0.3286,0.04,644.064
0.15,0.1365,0.3286,0.06,646.635
0.15,0.1365,0.3286,0.08,648.095
0.15,0.1365,0.3286,0.1,647.174
0.15,0.1365,0.3286,0.12,652.707
0.15,0.1365,0.3286,0.14,652.719
0.15,0.1365,0.4929,0.02,647.233
0.15,0.1365,0.4929,0.04,646.877
0.15,0.1365,0.4929,0.06,643.91
0.15,0.1365,0.4929,0.08,653.443
0.15,0.1365,0.4929,0.1,647.892
0.15,0.1365,0.4929,0.12,653.803
0.15,0.1365,0.4929,0.14,654.89
0.15,0.1365,0.6572,0.02,635.159
0.15,0.1365,0.6572,0.04,650.468
0.15,0.1365,0.6572,0.06,645.021
0.2,0.091,0.1643,0.1,644.642
0.15,0.1365,0.6572,0.08,647.482
0.15,0.1365,0.6572,0.1,648.149
0.15,0.1365,0.6572,0.12,652.877
0.15,0.1365,0.6572,0.14,655.31
0.15,0.1365,0.8215,0.02,646.809
0.15,0.1365,0.8215,0.04,645.744
0.15,0.1365,0.8215,0.06,646.394
0.15,0.1365,0.8215,0.08,650.878
0.15,0.1365,0.8215,0.1,652.6
0.15,0.1365,0.8215,0.12,652.179
0.15,0.1365,0.8215,0.14,656.58
0.15,0.1365,0.9858,0.02,650.535
0.15,0.1365,0.9858,0.04,650.301
0.15,0.1365,0.9858,0.06,640.904
0.15,0.1365,0.9858,0.08,653.153
0.15,0.1365,0.9858,0.1,651.487
0.15,0.1365,0.9858,0.12,660.661
0.15,0.1365,0.9858,0.14,658.668
0.15,0.1365,1.1501,0.02,648.589
0.15,0.1365,1.1501,0.04,646.856
0.15,0.1365,1.1501,0.06,649.73
0.15,0.1365,1.1501,0.08,651.46
0.15,0.1365,1.1501,0.1,650.359
0.15,0.1365,1.1501,0.12,659.693
0.15,0.1365,1.1501,0.14,658.954
0.15,0.182,0.1643,0.02,648.678
0.15,0.182,0.1643,0.04,654.599
0.15,0.182,0.1643,0.06,664.491
0.15,0.182,0.1643,0.08,667.118
0.15,0.182,0.1643,0.1,672.583
