,SigC,SigH,EpsC,EpsH,density,estimErr
296,0.125,0.1593,0.4108,0.05,637.087,22.0
297,0.125,0.1593,0.4108,0.07,647.322,18.0
298,0.125,0.1593,0.4108,0.09,655.775,18.0
299,0.125,0.1593,0.4108,0.11,650.92,20.0
300,0.125,0.1593,0.4108,0.13,654.836,19.0
301,0.125,0.1593,0.5751,0.03,639.209,21.0
302,0.125,0.1593,0.5751,0.05,644.308,16.0
303,0.125,0.1593,0.5751,0.07,647.441,20.0
304,0.125,0.1593,0.5751,0.09,651.332,19.0
305,0.125,0.1593,0.5751,0.11,656.145,18.0
306,0.125,0.1593,0.5751,0.13,658.674,18.0
307,0.125,0.1593,0.7394,0.03,641.03,17.0
308,0.125,0.1593,0.7394,0.05,642.068,22.0
309,0.125,0.1593,0.7394,0.07,650.082,16.0
310,0.125,0.1593,0.7394,0.09,654.978,19.0
311,0.125,0.1593,0.7394,0.11,654.916,20.0
312,0.125,0.1593,0.7394,0.13,659.376,18.0
313,0.125,0.1593,0.9037,0.03,647.183,16.0
314,0.125,0.1593,0.9037,0.05,648.011,17.0
315,0.125,0.1593,0.9037,0.07,653.259,18.0
316,0.125,0.1593,0.9037,0.09,639.675,27.0
317,0.125,0.1593,0.9037,0.11,653.74,18.0
318,0.125,0.1593,0.9037,0.13,660.487,18.0
319,0.125,0.1593,1.068,0.03,644.184,18.0
320,0.125,0.1593,1.068,0.05,644.069,20.0
321,0.125,0.1593,1.068,0.07,649.609,13.0
322,0.125,0.1593,1.068,0.09,654.558,19.0
323,0.125,0.1593,1.068,0.11,653.755,21.0
324,0.125,0.1593,1.068,0.13,658.693,18.0
325,0.125,0.2048,0.2465,0.03,643.651,19.0
326,0.125,0.2048,0.2465,0.05,649.645,20.0
327,0.125,0.2048,0.2465,0.07,661.868,19.0
328,0.125,0.2048,0.2465,0.09,668.862,17.0
329,0.125,0.2048,0.2465,0.11,684.78,16.0
330,0.125,0.2048,0.2465,0.13,687.233,20.0
331,0.125,0.2048,0.4108,0.03,646.885,18.0
332,0.125,0.2048,0.4108,0.05,651.92,18.0
333,0.125,0.2048,0.4108,0.07,663.698,20.0
334,0.125,0.2048,0.4108,0.09,666.137,22.0
335,0.125,0.2048,0.4108,0.11,682.441,18.0
336,0.125,0.2048,0.4108,0.13,685.771,19.0
337,0.125,0.2048,0.5751,0.03,646.639,20.0
338,0.125,0.2048,0.5751,0.05,647.777,23.0
339,0.125,0.2048,0.5751,0.07,664.099,21.0
340,0.125,0.2048,0.5751,0.09,673.762,18.0
341,0.125,0.2048,0.5751,0.11,678.612,18.0
342,0.125,0.2048,0.5751,0.13,687.593,18.0
343,0.125,0.2048,0.7394,0.03,647.279,16.0
344,0.125,0.2048,0.7394,0.05,656.403,17.0
345,0.125,0.2048,0.7394,0.07,663.936,20.0
346,0.125,0.2048,0.7394,0.09,673.317,14.0
347,0.125,0.2048,0.7394,0.11,673.045,21.0
348,0.125,0.2048,0.7394,0.13,687.673,18.0
349,0.125,0.2048,0.9037,0.03,647.278,17.0
350,0.125,0.2048,0.9037,0.05,656.304,17.0
351,0.125,0.2048,0.9037,0.07,663.681,15.0
352,0.125,0.2048,0.9037,0.09,676.246,15.0
353,0.125,0.2048,0.9037,0.11,684.74,16.0
354,0.125,0.2048,0.9037,0.13,684.275,20.0
355,0.125,0.2048,1.068,0.03,642.844,21.0
356,0.125,0.2048,1.068,0.05,648.621,18.0
357,0.125,0.2048,1.068,0.07,663.652,19.0
358,0.125,0.2048,1.068,0.09,672.624,18.0
359,0.125,0.2048,1.068,0.11,681.223,19.0
360,0.125,0.2048,1.068,0.13,687.34,19.0
361,0.125,0.2503,0.2465,0.03,601.477,16.0
362,0.125,0.2503,0.2465,0.05,601.567,18.0
363,0.125,0.2503,0.2465,0.07,610.522,11.0
364,0.125,0.2503,0.2465,0.09,609.591,15.0
365,0.125,0.2503,0.2465,0.11,618.254,15.0
366,0.125,0.2503,0.2465,0.13,624.427,12.0
367,0.125,0.2503,0.4108,0.03,599.298,16.0
368,0.125,0.2503,0.4108,0.05,602.635,15.0
369,0.125,0.2503,0.4108,0.07,606.78,11.0
370,0.125,0.2503,0.4108,0.09,606.017,16.0
371,0.125,0.2503,0.4108,0.11,617.864,13.0
372,0.125,0.2503,0.4108,0.13,623.335,13.0
373,0.125,0.2503,0.5751,0.03,603.706,15.0
374,0.125,0.2503,0.5751,0.05,601.232,16.0
375,0.125,0.2503,0.5751,0.07,599.564,17.0
376,0.125,0.2503,0.5751,0.09,608.768,13.0
377,0.125,0.2503,0.5751,0.11,617.225,16.0
378,0.125,0.2503,0.5751,0.13,622.249,15.0
379,0.125,0.2503,0.7394,0.03,604.751,15.0
380,0.125,0.2503,0.7394,0.05,601.113,14.0
381,0.125,0.2503,0.7394,0.07,605.435,16.0
382,0.125,0.2503,0.7394,0.09,607.316,16.0
383,0.125,0.2503,0.7394,0.11,614.281,14.0
384,0.125,0.2503,0.7394,0.13,625.245,12.0
385,0.125,0.2503,0.9037,0.03,595.963,20.0
386,0.125,0.2503,0.9037,0.05,603.403,13.0
387,0.125,0.2503,0.9037,0.07,607.666,15.0
388,0.125,0.2503,0.9037,0.09,610.474,15.0
389,0.125,0.2503,0.9037,0.11,618.039,13.0
390,0.125,0.2503,0.9037,0.13,618.223,18.0
391,0.125,0.2503,1.068,0.03,601.915,19.0
392,0.125,0.2503,1.068,0.05,599.282,14.0
393,0.125,0.2503,1.068,0.07,607.832,11.0
394,0.125,0.2503,1.068,0.09,607.532,16.0
395,0.125,0.2503,1.068,0.11,616.474,15.0
396,0.125,0.2503,1.068,0.13,624.09,14.0
397,0.125,0.2958,0.2465,0.03,373.863,19.0
398,0.125,0.2958,0.2465,0.05,446.143,--
399,0.125,0.2958,0.2465,0.07,446.143,--
400,0.125,0.2958,0.2465,0.09,446.143,--
401,0.125,0.2958,0.2465,0.11,446.143,--
402,0.125,0.2958,0.2465,0.13,446.143,--
403,0.125,0.2958,0.4108,0.03,381.325,16.0
404,0.125,0.2958,0.4108,0.05,446.143,--
405,0.125,0.2958,0.4108,0.07,446.143,--
406,0.125,0.2958,0.4108,0.09,446.143,--
407,0.125,0.2958,0.4108,0.11,446.143,--
408,0.125,0.2958,0.4108,0.13,446.143,--
409,0.125,0.2958,0.5751,0.03,405.509,14.0
410,0.125,0.2958,0.5751,0.05,446.143,--
411,0.125,0.2958,0.5751,0.07,446.143,--
412,0.125,0.2958,0.5751,0.09,446.143,--
413,0.125,0.2958,0.5751,0.11,446.143,--
414,0.125,0.2958,0.5751,0.13,446.143,--
415,0.125,0.2958,0.7394,0.03,386.012,17.0
416,0.125,0.2958,0.7394,0.05,446.143,--
417,0.125,0.2958,0.7394,0.07,446.143,--
418,0.125,0.2958,0.7394,0.09,446.143,--
419,0.125,0.2958,0.7394,0.11,446.143,--
420,0.125,0.2958,0.7394,0.13,446.143,--
421,0.125,0.2958,0.9037,0.03,389.412,15.0
422,0.125,0.2958,0.9037,0.05,446.143,--
423,0.125,0.2958,0.9037,0.07,446.143,--
424,0.125,0.2958,0.9037,0.09,446.143,--
425,0.125,0.2958,0.9037,0.11,446.143,--
426,0.125,0.2958,0.9037,0.13,446.143,--
427,0.125,0.2958,1.068,0.03,388.361,13.0
428,0.125,0.2958,1.068,0.05,446.143,--
429,0.125,0.2958,1.068,0.07,446.143,--
430,0.125,0.2958,1.068,0.09,446.143,--
431,0.125,0.2958,1.068,0.11,446.143,--
432,0.125,0.2958,1.068,0.13,446.143,--
433,0.175,0.0683,0.2465,0.03,637.674,19.0
434,0.175,0.0683,0.2465,0.05,636.542,14.0
435,0.175,0.0683,0.2465,0.07,636.833,19.0
436,0.175,0.0683,0.2465,0.09,641.156,16.0
437,0.175,0.0683,0.2465,0.11,638.998,19.0
438,0.175,0.0683,0.2465,0.13,637.47,16.0
439,0.175,0.0683,0.4108,0.03,641.93,16.0
440,0.175,0.0683,0.4108,0.05,638.01,21.0
441,0.175,0.0683,0.4108,0.07,636.612,17.0
442,0.175,0.0683,0.4108,0.09,637.536,19.0
443,0.175,0.0683,0.4108,0.11,644.871,17.0
444,0.175,0.0683,0.4108,0.13,638.465,17.0
445,0.175,0.0683,0.5751,0.03,639.668,18.0
446,0.175,0.0683,0.5751,0.05,647.597,15.0
447,0.175,0.0683,0.5751,0.07,638.466,22.0
448,0.175,0.0683,0.5751,0.09,641.927,18.0
449,0.175,0.0683,0.5751,0.11,637.601,18.0
450,0.175,0.0683,0.5751,0.13,638.29,18.0
451,0.175,0.0683,0.7394,0.03,639.999,18.0
452,0.175,0.0683,0.7394,0.05,646.165,18.0
453,0.175,0.0683,0.7394,0.07,640.575,20.0
454,0.175,0.0683,0.7394,0.09,641.266,18.0
455,0.175,0.0683,0.7394,0.11,646.418,18.0
456,0.175,0.0683,0.7394,0.13,642.551,21.0
457,0.175,0.0683,0.9037,0.03,643.326,21.0
458,0.175,0.0683,0.9037,0.05,643.991,16.0
459,0.175,0.0683,0.9037,0.07,649.545,16.0
460,0.175,0.0683,0.9037,0.09,646.362,16.0
461,0.175,0.0683,0.9037,0.11,639.804,19.0
462,0.175,0.0683,0.9037,0.13,644.91,20.0
463,0.175,0.0683,1.068,0.03,643.542,18.0
464,0.175,0.0683,1.068,0.05,645.349,17.0
